title,year,rating,name
Chief Zabu,2016,7.9,Comedy
Crime and Punishment,2002,6.4,Drama
The Wandering Soap Opera,2017,7.2,Comedy
The Wandering Soap Opera,2017,7.2,Drama
The Wandering Soap Opera,2017,7.2,Fantasy
Bigfoot,2017,3.9,Horror
Bigfoot,2017,3.9,Thriller
Dune 7,2002,5.1,Adventure
Justifiable Homicide,2002,2.8,Documentary
The Silent Force,2001,4.4,Action
3 noches,2001,6.8,Crime
3 noches,2001,6.8,Thriller
Biriken,2008,6.3,Comedy
Biriken,2008,6.3,Fantasy
Impotent,2001,3.7,Comedy
Still Waters Burn,2008,6.7,Drama
Still Waters Burn,2008,6.7,Romance
What Is It?,2005,5.9,Drama
White Hotel,2001,7.6,Biography
White Hotel,2001,7.6,Documentary
The Attic Expeditions,2001,5.1,Comedy
The Attic Expeditions,2001,5.1,Horror
The Attic Expeditions,2001,5.1,Mystery
Strawberry Estates,2001,2.5,Comedy
Strawberry Estates,2001,2.5,Horror
Between the Sheets,2003,4.7,Comedy
Camarate,2001,6.7,Drama
Camarate,2001,6.7,History
Fantastic Four,2005,5.7,Action
Fantastic Four,2005,5.7,Adventure
Fantastic Four,2005,5.7,Family
Frida,2002,7.4,Biography
Frida,2002,7.4,Drama
Frida,2002,7.4,Romance
From Hell,2001,6.8,Horror
From Hell,2001,6.8,Mystery
From Hell,2001,6.8,Thriller
Serial Killing 4 Dummys,2004,5.3,Comedy
Serial Killing 4 Dummys,2004,5.3,Horror
Serial Killing 4 Dummys,2004,5.3,Mystery
Burning Down the House,2001,4.8,Comedy
Sticks,2001,5.3,Comedy
Sticks,2001,5.3,Crime
Heartbreakers,2001,6.2,Comedy
Heartbreakers,2001,6.2,Crime
Heartbreakers,2001,6.2,Romance
Shrek,2001,7.9,Adventure
Shrek,2001,7.9,Animation
Shrek,2001,7.9,Comedy
Eyes Are Upon You,2001,2.7,Crime
Eyes Are Upon You,2001,2.7,Thriller
Flophouse,2002,1.7,Comedy
Split,2004,4.8,Action
Split,2004,4.8,Crime
Split,2004,4.8,Sci-Fi
Planet of the Apes,2001,5.7,Action
Planet of the Apes,2001,5.7,Adventure
Planet of the Apes,2001,5.7,Sci-Fi
Mata Hari,2016,6.3,Drama
Mort,2005,5.4,Comedy
Mort,2005,5.4,Drama
Mort,2005,5.4,Romance
Dominator,2003,4.5,Animation
Dominator,2003,4.5,Comedy
Dominator,2003,4.5,Sci-Fi
Seven Days of Grace,2006,4.1,Comedy
Seven Days of Grace,2006,4.1,Drama
Joe Finds Grace,2017,8.3,Adventure
Joe Finds Grace,2017,8.3,Animation
Joe Finds Grace,2017,8.3,Comedy
Intolerable Cruelty,2003,6.3,Comedy
Intolerable Cruelty,2003,6.3,Crime
Intolerable Cruelty,2003,6.3,Romance
American Reel,2003,7.4,Drama
American Reel,2003,7.4,Music
Whispers from a Shallow Grave,2006,4.5,Crime
Whispers from a Shallow Grave,2006,4.5,Fantasy
Whispers from a Shallow Grave,2006,4.5,Mystery
Spider-Man,2002,7.3,Action
Spider-Man,2002,7.3,Adventure
Naqoyqatsi,2002,6.7,Documentary
Naqoyqatsi,2002,6.7,Music
Lara Croft: Tomb Raider,2001,5.8,Action
Lara Croft: Tomb Raider,2001,5.8,Adventure
Lara Croft: Tomb Raider,2001,5.8,Fantasy
Apartment 12,2001,5,Comedy
Apartment 12,2001,5,Romance
The Secret Pact,2001,5.6,Thriller
After Image,2001,3.9,Drama
After Image,2001,3.9,Thriller
One Last Dance,2003,5.7,Drama
One Last Dance,2003,5.7,Romance
Behind Enemy Lines,2001,6.4,Action
Behind Enemy Lines,2001,6.4,Drama
Behind Enemy Lines,2001,6.4,Thriller
Eye See You,2002,5.3,Crime
Eye See You,2002,5.3,Horror
Eye See You,2002,5.3,Mystery
Duty Dating,2002,5.1,Comedy
Duty Dating,2002,5.1,Romance
Easter,2002,7.6,Comedy
Easter,2002,7.6,Drama
False River,2005,6.3,Thriller
Final Solution,2001,7,Action
Final Solution,2001,7,Drama
The Homeboy,2001,4.9,Comedy
Imelda,2003,7.5,Biography
Imelda,2003,7.5,Documentary
Impostor,2001,6.2,Drama
Impostor,2001,6.2,Mystery
Impostor,2001,6.2,Sci-Fi
Long Lost Love,2001,7,Comedy
Long Lost Love,2001,7,Drama
Long Lost Love,2001,7,Romance
The Prodigy,2005,5.7,Crime
The Prodigy,2005,5.7,Drama
The Prodigy,2005,5.7,Thriller
Silent Screamplay,2003,5.5,Thriller
Spooky House,2002,5.4,Comedy
Spooky House,2002,5.4,Family
White Boy,2002,3.2,Drama
Working Stiff,2001,7.2,Comedy
Nowhere in Africa,2001,7.7,Biography
Nowhere in Africa,2001,7.7,Drama
Ghost World,2001,7.4,Comedy
Ghost World,2001,7.4,Drama
Net Worth,2001,6,Action
Net Worth,2001,6,Adventure
Net Worth,2001,6,Comedy
City of Ghosts,2002,6,Crime
City of Ghosts,2002,6,Drama
City of Ghosts,2002,6,Thriller
Pipe Dream,2002,6.1,Comedy
Pipe Dream,2002,6.1,Romance
Vidocq,2001,6.5,Action
Vidocq,2001,6.5,Crime
Vidocq,2001,6.5,Fantasy
Highway,2002,6.3,Crime
Highway,2002,6.3,Drama
Daddy and Them,2001,5.7,Comedy
Daddy and Them,2001,5.7,Drama
Still Life,2001,5.5,Drama
Monkeybone,2001,4.7,Animation
Monkeybone,2001,4.7,Comedy
Monkeybone,2001,4.7,Fantasy
Posthumous Memories,2001,7.1,Comedy
Posthumous Memories,2001,7.1,Drama
Viúva Rica Solteira Não Fica,2006,6.5,Comedy
Viúva Rica Solteira Não Fica,2006,6.5,Drama
Mulholland Dr.,2001,8,Drama
Mulholland Dr.,2001,8,Mystery
Mulholland Dr.,2001,8,Thriller
Race to Space,2001,5.5,Drama
Race to Space,2001,5.5,Family
Thunderbirds,2004,4.2,Action
Thunderbirds,2004,4.2,Adventure
Thunderbirds,2004,4.2,Comedy
Baggage,2003,6.6,Drama
Il resto di niente,2004,7.1,Drama
Il resto di niente,2004,7.1,History
The Life of Aleksis Kivi,2001,6.1,Biography
